cPn.g_m2_yr, H.g_m2_yr
233.34733585580938, 1026.2688332663538
314.1574601345151, 818.4778702011663
431.8562946899097, 836.969085766714
442.8880581736565, 883.2690076660018
473.0588940029267, 880.8286258065984
603.921717305753, 924.2156186258824
608.1895041742175, 871.9855020814216
183.3786519665457, 537.8321365473419
226.77292407549214, 392.4077008818558
415.39327120661807, 528.5474025826312
448.5492224050469, 496.1412182194556
492.2856211281383, 584.551224209704
499.11784108400747, 490.36206883478303
524.1880179859113, 492.18249785791727
435.43436886283854, 332.4876214162765
406.99266763218344, 251.85189678573875
500.08568330540396, 157.17563561089173
392.1741570051792, 99.3259074468649
225.18361249914716, 80.62359248110033
244.713643360302, 127.8164405790069
242.15952259991957, 140.65346789909086
231.53873567837672, 133.75573433625755
99.80998020943113, 135.76117863831792
129.09183278865038, 243.8094949234537
129.08485680272372, 263.5096791804734
128.65598532009912, 274.6427461120252
145.65161016370814, 278.99818776017776
139.69199505614904, 308.9512515070405
